odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-2.240173620937759, -1.2694379271548744, 3.0758805132181672, 0.0004377278353849383, 6.061017776934789e-06, 0, 0, 0, 4770044000000, 
-2.2401735768282833, -1.2694373797234544, 2.6492777102875262, -0.0004005800561041168, 3.700347941012409e-07, 0, 0, 0, 4770146000000, 
-2.240174017238642, -1.2694371805541989, 2.6638700508091824, 0.00023237147456905047, -2.8844676127434073e-06, 0, 0, 0, 4770248000000, 
-2.2401727080281124, -1.2694382703557272, -2.378699791367595, 0.00017283708428324844, -1.1381699534426755e-05, 0, 0, 0, 4770350000000, 
-2.2401725390129377, -1.2694385770273084, -1.7207187605468346, 0.00013065416797692145, -7.494290819659952e-06, 0, 0, 0, 4770452000000, 
-2.240172519288914, -1.2694382283274854, -1.8304984765985495, 2.0609327287093045e-05, -2.59221416366638e-06, 0, 0, 0, 4770520000000, 
-2.2401729584875643, -1.2694381444618854, -2.8431455228355533, 7.963061424368709e-06, -2.0572618400767203e-06, 0, 0, 0, 4770622000000, 
-2.240173214986565, -1.2694378821786165, 3.0265138898223176, 3.6199179678877917e-06, -1.1505799907100344e-05, 0, 0, 0, 4770724000000, 
-2.240172725940731, -1.2694378601755547, 2.752216239616835, 9.531232602960346e-05, 1.8049311888854873e-06, 0, 0, 0, 4770826000000, 
-2.2401725886080848, -1.2694381842426583, -2.0240068481927636, 5.907003820331461e-07, -2.691488834663284e-06, 0, 0, 0, 4770928000000, 
-2.2401736408816886, -1.2694376538378755, 2.8865522544907996, 0.00015652828754933869, -2.4142646225198314e-06, 0, 0, 0, 4771030000000, 
-2.240173180516082, -1.2694379308553227, 3.1045849441626467, 0.0004473946267174942, 1.5847372922703814e-06, 0, 0, 0, 4771132000000, 
-2.2401737953650493, -1.2694373837639963, 2.7272814890365384, 0.00041470367949834083, -1.042681211842596e-06, 0, 0, 0, 4771234000000, 
-2.2401734434450904, -1.2694375974977201, 2.773810589609897, 0.0004604240613666466, 7.253537651841443e-06, 0, 0, 0, 4771336000000, 
-2.2401704853997697, -1.2694392306097464, -0.562242158295723, 0.00033051615461573487, 7.449348963320504e-06, 0, 0, 0, 4771438000000, 
-2.240171795466109, -1.2694397750664264, -1.2156739135826262, -0.00010018496977318599, 1.4615954388605206e-05, 0, 0, 0, 4771540000000, 
