x,y,theta,stamp_ns
0.9135833382606506,0.8901607394218445,0.9073801503091923,1761334169349438641
0.9154667258262634,0.8924812078475952,0.9081234030374097,1761334169458990763
0.9174531698226929,0.8949853777885437,0.9080804854524421,1761334169559992272
0.9189468622207642,0.8970576524734497,0.909312127648766,1761334169649029009
0.9207242131233215,0.8994722366333008,0.9095120217364798,1761334169749073983
0.9228758811950684,0.9019991755485535,0.9100268089771198,1761334169862997873
0.9246652126312256,0.9042512774467468,0.9100268089771198,1761334169954017438
0.9264153242111206,0.9067341685295105,0.909053463788814,1761334170053018957
0.9285404086112976,0.9093604683876038,0.9090543318840967,1761334170163582684
0.9303838610649109,0.9115488529205322,0.9090550515840093,1761334170262774123
0.932101309299469,0.9137850999832153,0.9081622345218309,1761334170354000219
0.9341068267822266,0.9162919521331787,0.9081622345218309,1761334170453023136
0.9358571767807007,0.9185479283332825,0.9081622345218309,1761334170553210216
0.9379803538322449,0.9211996793746948,0.9081622345218309,1761334170663027447
0.9395138621330261,0.9232892394065857,0.907605504854984,1761334170754012235
0.9412258267402649,0.9257064461708069,0.9076050500569168,1761334170853137491
0.9432725310325623,0.9283167123794556,0.9076050500569168,1761334170965666185
0.9451900124549866,0.9306442737579346,0.9083034264931734,1761334171063031070
0.9468382596969604,0.9327439069747925,0.9083034264931734,1761334171154007273
0.9487570524215698,0.9352654814720154,0.9083034264931734,1761334171253033056
0.9508268237113953,0.9378108978271484,0.9083066249259193,1761334171364121051
0.9527671337127686,0.9401954412460327,0.9083066249259193,1761334171463038159
0.9543930888175964,0.9423478841781616,0.9083066249259193,1761334171554040741
0.9561140537261963,0.9448148012161255,0.9068528037676593,1761334171653092434
0.9581042528152466,0.9472092390060425,0.906480245012345,1761334171753411933
0.9602174162864685,0.9500061869621277,0.9057019879793491,1761334171863056305
0.9618982076644897,0.9523106217384338,0.9050925081832641,1761334171954046846
0.963726282119751,0.9546728730201721,0.9049108712956135,1761334172053047094
0.9655510783195496,0.9568663835525513,0.9047205674429152,1761334172152986076
0.967703640460968,0.9597750902175903,0.9041271289753607,1761334172263047201
0.969369649887085,0.9619695544242859,0.9039965231169138,1761334172355073429
0.9714555740356445,0.9644121527671814,0.9037164697629336,1761334172456111473
0.9734468460083008,0.9669389724731445,0.9022880922573165,1761334172565545657
0.9752987623214722,0.969479501247406,0.9011773748273901,1761334172662051930
0.9771331548690796,0.9717946648597717,0.899768131158768,1761334172754054676
0.979522705078125,0.9746130108833313,0.8981164648096646,1761334172854055060
0.9812403321266174,0.976925253868103,0.8972571773461308,1761334172963066067
0.9831568002700806,0.9794801473617554,0.8960397857499122,1761334173061057769
0.985204815864563,0.9818518161773682,0.8950644504596865,1761334173154044886
0.9872984886169434,0.9843207597732544,0.8944125344888365,1761334173253078936
0.9891814589500427,0.986751139163971,0.8922305786939613,1761334173351581396
0.9916215538978577,0.9896177053451538,0.8911906011703301,1761334173461063345
0.9931655526161194,0.9914340376853943,0.8890332134302303,1761334173554064789
0.9953005313873291,0.9940786957740784,0.8850815593831263,1761334173653149594
