e,e_dot,e_int,stamp_ns
-0.005057926819393543,0.0038515431997912905,-0.0012012270851489279,1761334170262774123
-0.004470195649070585,0.004915007901544957,-0.0009780848034104614,1761334170354000219
-0.004239802696967443,0.0029230800650289434,-0.0008731113912604061,1761334170453023136
-0.004433111332473261,0.00013239541970290315,-0.0008727462798756349,1761334170553210216
-0.004159331373316144,0.00018785810815359562,-0.0008982756181296231,1761334170663027447
-0.004496097164080726,-0.00040276356502818336,-0.0008760684105439732,1761334170754012235
-0.006103721044840582,-0.006639815807953114,-0.0009352875254939144,1761334170853137491
-0.006260689568316824,-0.005871008564430277,-0.0011895310233527234,1761334170965666185
-0.0062890020084230835,-0.0005619023170759695,-0.0013050771785691005,1761334171063031070
-0.006390011064359102,-0.0004670223140559355,-0.0011890414006070203,1761334171154007273
-0.007096540805086371,-0.0027483619564144697,-0.0012524648370150092,1761334171253033056
-0.006557232459824314,-0.0007600069260437469,-0.001403825083613357,1761334171364121051
-0.005992736301918988,0.003520514914531063,-0.0013752890883908502,1761334171463038159
-0.006782903588693823,-0.0009920503364664668,-0.0012238977078681966,1761334171554040741
-0.007893437264478775,-0.006631522774809234,-0.001309415491209998,1761334171653092434
-0.006521834038829,0.0008202305149478598,-0.0014087684654809432,1761334171753411933
-0.007049847715143276,0.0029522186193802796,-0.0015022998268632345,1761334171863056305
-0.008401205093391706,-0.006555772737293073,-0.0014695094136599055,1761334171954046846
-0.00901711317238929,-0.007024300991748234,-0.0015495753866995871,1761334172053047094
-0.007845134685523725,0.0018352207568415274,-0.0016752972924245961,1761334172152986076
-0.009834203867955638,-0.00211515473106995,-0.0018687525729842505,1761334172263047201
-0.01123519484922253,-0.011098742444312195,-0.0019477538395273695,1761334172355073429
-0.008930236824559512,0.002529650297425461,-0.0019306192653769701,1761334172456111473
-0.008153978771530679,0.009968717266577902,-0.00198681647069048,1761334172565545657
-0.010786811164503973,-0.00672936187183161,-0.0019132573293786643,1761334172662051930
-0.01021985375872203,-0.007039689077631158,-0.0018323481121023727,1761334172754054676
-0.006076101660922095,0.015866586140672906,-0.0017333253177386143,1761334172854055060
-0.009075879940082188,0.004639746346781398,-0.0017676675335864607,1761334172963066067
-0.012553970236878098,-0.021003948503023773,-0.001911735695288394,1761334173061057769
-0.008234858766636544,0.0036515901646124818,-0.001901175614608953,1761334173154044886
-0.0044761312938191855,0.02813412783885236,-0.0016171357201675693,1761334173253078936
-0.0061938257729601265,0.006838601070182808,-0.0012447971139752365,1761334173351581396
0.0006148728313624119,0.014917353603963826,-0.0006971002507161336,1761334173461063345
0.008327792047584492,0.048374491821801376,0.00018553142299709648,1761334173554064789
